	topic	sentiment	tweets	time
0	3	+	"@breakoutpass if you don’t want a vaccine?  Fine.  That’s your prerogative.  But don’t go and harass CHILDREN, FFS. 🤦🏼‍♀️"	2021-11-28 23:43:24+00:00
1	3	+	Two Phizers and Moderna for good  measure	2021-11-28 23:37:58+00:00
2	4	-	COVID-19 just out here dropping deluxe albums with all these variants 😭	2021-11-28 23:23:33+00:00
3	4	-	Can we please switch from the Greek Alphabet to Fonts? I’m way more comfortable hearing about the COVID-19 Papyrus variant than this Omicron nightmare.	2021-11-28 23:22:23+00:00
4	4	-	@nalioto @MikeFin99449555 @colonialcountr3 @RonFilipkowski It keeps people out of the hospital and in the end isn’t that the point of a vaccine? 🤔	2021-11-28 23:21:57+00:00
5	4	-	"@KayeSteinsapir
Someone I care very deeply for just tested positive for COVID. Can we round up some #TEAMMOLLY well wishes/prayers/twitter magic for him 💓♥️🤗 much appreciated."	2021-11-28 23:11:36+00:00
6	4	-	"I am all for safe practice around covid, but being told @SportChek can’t measure my daughters feet because of concerns about covid…… really?"	2021-11-28 23:07:33+00:00
7	3	+	Happy and relieved to get an initial vaccine into my kid today. #CovidAB	2021-11-28 23:07:21+00:00
8	5	n	"Kingston Health Sciences Centre is hiring in Kingston, Ontario, Canada! Read about our latest #Nursing job opening via the link in our bio: Registered Practical Nurse - COVID Assessment Centre #YGK"	2021-11-28 23:04:20+00:00
9	4	n	@jennyeclair You know masks only have a 10-15% reduction in spreading covid. And that’s in tight situations shoulder to shoulder inside. Making masks the final straw of stopping covid is crazy and wrong. You probably shouldn’t punch anyone in the face either cause you will probably get 1 back	2021-11-28 23:03:10+00:00
10	4	-	"What Ford et al are really saying about Omicron: we urge the federal government to take strong decisive action so we in turn can say they should have done the opposite, and that the Feds are 100% responsible for the COVID clusterf*ck in Ontario."	2021-11-28 22:58:42+00:00
11	3	-	@BBCPolitics Vaxx that is in emergency usage doesn't work so how is anyone trust a new vaxx  ..?  Covid 19 vaxx flaws  people having adverse reactions including blood clots   paralysis comas	2021-11-28 22:58:24+00:00
12	3	-	@brockm Does he think Pfizer and Moderna operate more effectively when a Republican is president? And also that they can predict variants before they exist? Weird combination of psychic and communist beliefs.	2021-11-28 22:54:23+00:00
13	3	n	@RodKahx @StevenDelDuca *fumbles around for more vaccine*	2021-11-28 22:49:25+00:00
14	3	-	"@AmitAryaMD My understanding is that South Africa has a vaccine hesitancy problem, not a lack of vaccines problem. Although you are correct about making vaccines available to countries without access, we also have to stop the spread of misinformation along with the spread of covid"	2021-11-28 22:23:01+00:00
15	3	+	"A growing number people I know—fully vaxxed—are coming down with COVID-19. Granted, their symptoms are less severe, but it's still happening. Unfortunately, masking and distancing still need to be a thing for the foreseeable future."	2021-11-28 22:12:41+00:00
16	4	-	"@MoriartyLab @GovCanHealth @StatCan_eng @GidMK Not only that, to be blunt, this puts the nail into the the coffin of the COVID-IS-OVER crowd’s arguments."	2021-11-28 22:08:26+00:00
17	4	-	"@AHume92 You and I will probably never agree about that.
People don’t have rights and freedoms without responsibility and obligations.
People need to refrain from harming others unless it’s self defence.  Vaccine passports allow businesses to remain open more safely"	2021-11-28 21:43:56+00:00
18	4	-	@JeffVeillette Look. The Habs only made the playoffs the last two seasons because of Covid. They’re a lottery team and have been for 3 seasons. A couple of fluke runs saves his job for this long.	2021-11-28 21:02:43+00:00
19	3	-	@keddieff About 5-6 weeks according to Moderna. But then you have to go through phase testing and other regulatory hurdles. That’s another 6 months or so.	2021-11-28 20:53:24+00:00
20	4	-	@Sid_Seixeiro That just shows how low expectations are for a Leafs team that just can’t win a round. ECF I believe he inherited that team. Last year and year before team doesn’t make playoffs/in if there’s no COVID. So let’s put his tenure in real perspective.	2021-11-28 20:50:45+00:00
